Wed Apr 02 00:27:14 2025


Number of Points = 4490

Depth (nm)	Load (µN)	Time (s)	Disp. Voltage(V)	Force Voltage(V)
44.195888	2487.905665	2.482381	-0.008135	2.594889
44.130681	2493.028991	2.487386	-0.008119	2.597469
44.096269	2497.846488	2.492390	-0.008111	2.599896
44.315203	2502.841065	2.497395	-0.008164	2.602450
44.294253	2507.933236	2.502400	-0.008159	2.605014
44.266602	2512.970421	2.507405	-0.008152	2.607546
44.323146	2517.831346	2.512410	-0.008166	2.610000
44.376656	2522.927730	2.517414	-0.008179	2.612569
44.539832	2528.186182	2.522419	-0.008218	2.615234
44.667457	2533.183475	2.527424	-0.008249	2.617760
44.737404	2537.996561	2.532429	-0.008266	2.620183
44.754671	2543.063767	2.537434	-0.008270	2.622722
44.938150	2548.076714	2.542438	-0.008314	2.625258
44.781271	2553.109075	2.547443	-0.008276	2.627748
44.824220	2558.021097	2.552448	-0.008287	2.630207
45.176239	2563.021624	2.557453	-0.008371	2.632754
45.177530	2568.257545	2.562458	-0.008372	2.635363
45.115791	2573.252304	2.567462	-0.008357	2.637840
45.157816	2578.149348	2.572467	-0.008367	2.640281
